id,fecha,year,month,day_of_week,is_weekend,hora,tipo_venta,producto,seccion,precio,descuento,revenue
6,2024-04-08,2024,4,Monday,False,14,Llevar,Pan dulce relleno con diseño,Panadería de autor,2000,0,2000
7,2024-04-08,2024,4,Monday,False,15,Llevar,Ciabatta,Panadería artesanal,1500,0,1500
7,2024-04-08,2024,4,Monday,False,15,Llevar,Ciabatta,Panadería artesanal,1500,0,1500
8,2024-04-08,2024,4,Monday,False,15,Servir,Bebidas,Otros bebestibles,1300,0,1300
9,2024-04-08,2024,4,Monday,False,16,Llevar,Baguette,Panadería artesanal,1000,0,1000
9,2024-04-08,2024,4,Monday,False,16,Llevar,Baguette,Panadería artesanal,1000,0,1000
9,2024-04-08,2024,4,Monday,False,16,Llevar,Pan dulce relleno con diseño,Panadería de autor,4000,0,4000
10,2024-04-08,2024,4,Monday,False,16,Llevar,Marraqueta,Panadería artesanal,629,0,629
11,2024-04-08,2024,4,Monday,False,16,Servir,Ciabatta,Panadería artesanal,1500,0,1500
11,2024-04-08,2024,4,Monday,False,16,Servir,Marraqueta,Panadería artesanal,668,0,668
12,2024-04-08,2024,4,Monday,False,17,Llevar,Korone pan,Panadería Japonesa,3000,2040,960
12,2024-04-08,2024,4,Monday,False,17,Llevar,Pan dulce del día (diseño varía),Panadería de autor,1200,2040,-840
12,2024-04-08,2024,4,Monday,False,17,Llevar,Galletas con diseño,Galletas,1000,2040,-1040
12,2024-04-08,2024,4,Monday,False,17,Llevar,Galletas con diseño,Galletas,1000,2040,-1040
12,2024-04-08,2024,4,Monday,False,17,Llevar,Focaccia,Panadería artesanal,4000,2040,1960
13,2024-04-08,2024,4,Monday,False,17,Llevar,Galletas con diseño,Galletas,1000,0,1000
14,2024-04-08,2024,4,Monday,False,17,Servir,Bubble Tea,Preparaciones frías con té,8000,0,8000
14,2024-04-08,2024,4,Monday,False,17,Servir,Pan dulce relleno con diseño,Panadería de autor,4000,0,4000
16,2024-04-08,2024,4,Monday,False,17,Llevar,Choco frappuccino,Frappé,4000,0,4000
18,2024-04-08,2024,4,Monday,False,17,Llevar,Korone pan (Oferta por Unidad),Ofertas,1200,0,1200
20,2024-04-08,2024,4,Monday,False,17,Llevar,Ciabatta,Panadería artesanal,1500,0,1500
21,2024-04-08,2024,4,Monday,False,17,Llevar,Marraqueta,Panadería artesanal,649,0,649
22,2024-04-08,2024,4,Monday,False,17,Servir,Caramel frappuccino,Frappé,4000,0,4000
22,2024-04-08,2024,4,Monday,False,17,Servir,Focaccia,Panadería artesanal,2500,0,2500
22,2024-04-08,2024,4,Monday,False,17,Servir,Chocolate Caliente,Café,3200,0,3200
23,2024-04-08,2024,4,Monday,False,18,Servir,Korone pan (Oferta por Unidad),Ofertas,2400,0,2400
24,2024-04-08,2024,4,Monday,False,18,Llevar,Melonpan,Panadería Japonesa,2800,0,2800
25,2024-04-08,2024,4,Monday,False,18,Llevar,Cotton Cheesecake,Pastelería japonesa,2900,10,2890
25,2024-04-08,2024,4,Monday,False,18,Llevar,Tiramisu,Pastelería tradicional,2800,10,2790
25,2024-04-08,2024,4,Monday,False,18,Llevar,Ciabatta,Panadería artesanal,1500,10,1490
26,2024-04-08,2024,4,Monday,False,18,Llevar,Korone pan (Oferta por Unidad),Ofertas,1200,0,1200
26,2024-04-08,2024,4,Monday,False,18,Llevar,Pan dulce relleno con diseño,Panadería de autor,2000,0,2000
27,2024-04-08,2024,4,Monday,False,18,Servir,Pan dulce relleno con diseño,Panadería de autor,2000,0,2000
27,2024-04-08,2024,4,Monday,False,18,Servir,Chai Latte,Té - Infusiones,3500,0,3500
27,2024-04-08,2024,4,Monday,False,18,Servir,Chai Latte,Té - Infusiones,3500,0,3500
27,2024-04-08,2024,4,Monday,False,18,Servir,Carrot cake,Pastelería tradicional,2800,0,2800
28,2024-04-08,2024,4,Monday,False,19,Llevar,Korone pan (Oferta por Unidad),Ofertas,1200,0,1200
29,2024-04-08,2024,4,Monday,False,19,Llevar,Melonpan,Panadería Japonesa,1400,0,1400
30,2024-04-08,2024,4,Monday,False,19,Llevar,Baguette,Panadería artesanal,1000,0,1000
31,2024-04-09,2024,4,Tuesday,False,16,Llevar,Pan dulce relleno con diseño,Panadería de autor,12000,120,11880
31,2024-04-09,2024,4,Tuesday,False,16,Llevar,Berlínes de osito,Panadería de autor,1600,120,1480
31,2024-04-09,2024,4,Tuesday,False,16,Llevar,Focaccia,Panadería artesanal,4000,120,3880
32,2024-04-09,2024,4,Tuesday,False,16,Llevar,Bubble Tea,Preparaciones frías con té,4000,0,4000
32,2024-04-09,2024,4,Tuesday,False,16,Llevar,Pan dulce relleno con diseño,Panadería de autor,4000,0,4000
33,2024-04-09,2024,4,Tuesday,False,16,Servir,Bubble Tea,Preparaciones frías con té,4000,0,4000
33,2024-04-09,2024,4,Tuesday,False,16,Servir,Focaccia,Panadería artesanal,2500,0,2500
33,2024-04-09,2024,4,Tuesday,False,16,Servir,Tiramisu,Pastelería tradicional,2800,0,2800
34,2024-04-09,2024,4,Tuesday,False,16,Llevar,Baguette,Panadería artesanal,1000,0,1000
34,2024-04-09,2024,4,Tuesday,False,16,Llevar,Baguette,Panadería artesanal,1000,0,1000
35,2024-04-09,2024,4,Tuesday,False,16,Servir,Bubble Tea,Preparaciones frías con té,8000,0,8000
35,2024-04-09,2024,4,Tuesday,False,16,Servir,Cotton Cheesecake,Pastelería japonesa,2900,0,2900
36,2024-04-09,2024,4,Tuesday,False,16,Llevar,Caramel frappuccino,Frappé,4000,0,4000
36,2024-04-09,2024,4,Tuesday,False,16,Llevar,Galletas con diseño,Galletas,1000,0,1000
36,2024-04-09,2024,4,Tuesday,False,16,Llevar,Galletas con diseño,Galletas,1000,0,1000
37,2024-04-09,2024,4,Tuesday,False,16,Llevar,Agua mineral,Otros bebestibles,1100,0,1100
38,2024-04-09,2024,4,Tuesday,False,17,Llevar,Carrot cake,Pastelería tradicional,2800,0,2800
39,2024-04-09,2024,4,Tuesday,False,17,Servir,Pan dulce relleno con diseño,Panadería de autor,2000,0,2000
39,2024-04-09,2024,4,Tuesday,False,17,Servir,Berlínes de osito,Panadería de autor,1600,0,1600
39,2024-04-09,2024,4,Tuesday,False,17,Servir,Bebidas,Otros bebestibles,2600,0,2600
39,2024-04-09,2024,4,Tuesday,False,17,Servir,Galletas con diseño,Galletas,1000,0,1000
39,2024-04-09,2024,4,Tuesday,False,17,Servir,Galletas con diseño,Galletas,1000,0,1000
40,2024-04-09,2024,4,Tuesday,False,17,Servir,Cappuccino,Café,3000,0,3000
40,2024-04-09,2024,4,Tuesday,False,17,Servir,Pan dulce relleno con diseño,Panadería de autor,2000,0,2000
40,2024-04-09,2024,4,Tuesday,False,17,Servir,Pan dulce relleno con diseño,Panadería de autor,2000,0,2000
40,2024-04-09,2024,4,Tuesday,False,17,Servir,Melonpan,Panadería Japonesa,1400,0,1400
40,2024-04-09,2024,4,Tuesday,False,17,Servir,Melonpan,Panadería Japonesa,1400,0,1400
40,2024-04-09,2024,4,Tuesday,False,17,Servir,Chai Latte,Té - Infusiones,3500,0,3500
41,2024-04-09,2024,4,Tuesday,False,17,Llevar,Pan dulce relleno con diseño,Panadería de autor,4000,0,4000
41,2024-04-09,2024,4,Tuesday,False,17,Llevar,Dorayakis,Pastelería japonesa,2200,0,2200
41,2024-04-09,2024,4,Tuesday,False,17,Llevar,Berlínes de osito,Panadería de autor,1600,0,1600
41,2024-04-09,2024,4,Tuesday,False,17,Llevar,Melonpan,Panadería Japonesa,1400,0,1400
42,2024-04-09,2024,4,Tuesday,False,17,Servir,Chai Latte,Té - Infusiones,3500,0,3500
42,2024-04-09,2024,4,Tuesday,False,17,Servir,Latte,Café,3500,0,3500
43,2024-04-09,2024,4,Tuesday,False,17,Servir,Cotton Cheesecake,Pastelería japonesa,2900,0,2900
44,2024-04-09,2024,4,Tuesday,False,17,Servir,Ciabatta,Panadería artesanal,1500,0,1500
45,2024-04-09,2024,4,Tuesday,False,18,Servir,Melonpan,Panadería Japonesa,2800,0,2800
46,2024-04-09,2024,4,Tuesday,False,18,Servir,Baguette,Panadería artesanal,1000,0,1000
47,2024-04-09,2024,4,Tuesday,False,18,Servir,Dorayakis,Pastelería japonesa,2200,0,2200
48,2024-04-09,2024,4,Tuesday,False,18,Servir,Melonpan,Panadería Japonesa,1400,0,1400
48,2024-04-09,2024,4,Tuesday,False,18,Servir,Melonpan,Panadería Japonesa,2800,0,2800
48,2024-04-09,2024,4,Tuesday,False,18,Servir,Berlínes de osito,Panadería de autor,1600,0,1600
49,2024-04-09,2024,4,Tuesday,False,18,Servir,Bubble Tea,Preparaciones frías con té,4000,0,4000
50,2024-04-09,2024,4,Tuesday,False,18,Servir,Bubble Tea,Preparaciones frías con té,8000,0,8000
50,2024-04-09,2024,4,Tuesday,False,18,Servir,Cotton Cheesecake,Pastelería japonesa,2900,0,2900
