id,fecha,year,month,month_name,day_of_week,is_weekend,week,hora,franja_horaria,tipo_venta,metodo_pago_clean,total,descuento,iva,propina
6,2024-04-08,2024,4,April,Monday,False,15,14,almuerzo,Llevar,Efectivo,2000,0,319,0
7,2024-04-08,2024,4,April,Monday,False,15,15,almuerzo,Llevar,Efectivo,3000,0,479,0
8,2024-04-08,2024,4,April,Monday,False,15,15,almuerzo,Servir,Debito,1300,0,0,0
9,2024-04-08,2024,4,April,Monday,False,15,16,tarde,Llevar,Debito,6000,0,958,0
10,2024-04-08,2024,4,April,Monday,False,15,16,tarde,Llevar,Efectivo,630,0,100,0
11,2024-04-08,2024,4,April,Monday,False,15,16,tarde,Servir,Debito,2168,0,346,0
12,2024-04-08,2024,4,April,Monday,False,15,17,tarde,Llevar,Efectivo,8160,2040,1303,0
13,2024-04-08,2024,4,April,Monday,False,15,17,tarde,Llevar,Credito,1000,0,0,0
14,2024-04-08,2024,4,April,Monday,False,15,17,tarde,Servir,Debito,12000,0,1916,0
16,2024-04-08,2024,4,April,Monday,False,15,17,tarde,Llevar,Debito,4000,0,639,0
18,2024-04-08,2024,4,April,Monday,False,15,17,tarde,Llevar,Efectivo,1200,0,192,0
20,2024-04-08,2024,4,April,Monday,False,15,17,tarde,Llevar,Efectivo,1500,0,239,0
21,2024-04-08,2024,4,April,Monday,False,15,17,tarde,Llevar,Debito,649,0,104,0
22,2024-04-08,2024,4,April,Monday,False,15,17,tarde,Servir,Debito,9700,0,1549,970
23,2024-04-08,2024,4,April,Monday,False,15,18,tarde,Servir,Debito,2400,0,383,0
24,2024-04-08,2024,4,April,Monday,False,15,18,tarde,Llevar,Debito,2800,0,447,0
25,2024-04-08,2024,4,April,Monday,False,15,18,tarde,Llevar,Debito,7190,10,1148,0
26,2024-04-08,2024,4,April,Monday,False,15,18,tarde,Llevar,Credito,3200,0,511,0
27,2024-04-08,2024,4,April,Monday,False,15,18,tarde,Servir,Debito,11800,0,1884,1180
28,2024-04-08,2024,4,April,Monday,False,15,19,cierre,Llevar,Credito,1200,0,192,0
29,2024-04-08,2024,4,April,Monday,False,15,19,cierre,Llevar,Debito,1400,0,224,0
30,2024-04-08,2024,4,April,Monday,False,15,19,cierre,Llevar,Efectivo,1000,0,160,0
31,2024-04-09,2024,4,April,Tuesday,False,15,16,tarde,Llevar,Debito,17480,120,2791,0
32,2024-04-09,2024,4,April,Tuesday,False,15,16,tarde,Llevar,Debito,8000,0,1277,0
33,2024-04-09,2024,4,April,Tuesday,False,15,16,tarde,Servir,Debito,9300,0,1485,930
34,2024-04-09,2024,4,April,Tuesday,False,15,16,tarde,Llevar,Debito,2000,0,319,0
35,2024-04-09,2024,4,April,Tuesday,False,15,16,tarde,Servir,Debito,10900,0,0,0
36,2024-04-09,2024,4,April,Tuesday,False,15,16,tarde,Llevar,Debito,6000,0,958,0
37,2024-04-09,2024,4,April,Tuesday,False,15,16,tarde,Llevar,Debito,1100,0,176,0
38,2024-04-09,2024,4,April,Tuesday,False,15,17,tarde,Llevar,Debito,2800,0,447,0
39,2024-04-09,2024,4,April,Tuesday,False,15,17,tarde,Servir,Efectivo,8200,0,1309,410
40,2024-04-09,2024,4,April,Tuesday,False,15,17,tarde,Servir,Efectivo,13300,0,2124,0
41,2024-04-09,2024,4,April,Tuesday,False,15,17,tarde,Llevar,Debito,9200,0,1469,0
42,2024-04-09,2024,4,April,Tuesday,False,15,17,tarde,Servir,Efectivo,7000,0,1118,0
43,2024-04-09,2024,4,April,Tuesday,False,15,17,tarde,Servir,Debito,2900,0,463,0
44,2024-04-09,2024,4,April,Tuesday,False,15,17,tarde,Servir,Debito,1500,0,0,0
45,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Debito,2800,0,0,0
46,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Debito,1000,0,160,0
47,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Efectivo,2200,0,0,0
48,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Debito,5800,0,0,0
49,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Debito,4000,0,0,0
50,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Efectivo,13700,0,2187,0
51,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Efectivo,7400,0,1182,0
52,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Transferencia,16400,0,0,0
53,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Debito,2000,0,0,0
54,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Efectivo,1400,0,0,0
55,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Debito,7000,0,0,0
56,2024-04-09,2024,4,April,Tuesday,False,15,18,tarde,Servir,Debito,18600,0,0,0
57,2024-04-09,2024,4,April,Tuesday,False,15,19,cierre,Servir,Credito,2500,0,0,0
58,2024-04-09,2024,4,April,Tuesday,False,15,19,cierre,Servir,Debito,4000,0,639,0
59,2024-04-09,2024,4,April,Tuesday,False,15,19,cierre,Servir,Debito,13200,0,2108,0
60,2024-04-09,2024,4,April,Tuesday,False,15,19,cierre,Servir,Debito,31000,0,0,0
61,2024-04-09,2024,4,April,Tuesday,False,15,19,cierre,Servir,Debito,11800,0,1884,0
62,2024-04-09,2024,4,April,Tuesday,False,15,19,cierre,Servir,Debito,3500,0,0,0
63,2024-04-09,2024,4,April,Tuesday,False,15,20,cierre,Llevar,Debito,2000,0,0,0
64,2024-04-09,2024,4,April,Tuesday,False,15,20,cierre,Servir,Debito,18700,0,0,0
65,2024-04-10,2024,4,April,Wednesday,False,15,10,manana,Llevar,Efectivo,3100,0,0,0
66,2024-04-10,2024,4,April,Wednesday,False,15,10,manana,Servir,Debito,3100,0,0,0
67,2024-04-10,2024,4,April,Wednesday,False,15,10,manana,Servir,Debito,6400,0,0,0
68,2024-04-10,2024,4,April,Wednesday,False,15,10,manana,Servir,Debito,18600,0,0,0
69,2024-04-10,2024,4,April,Wednesday,False,15,10,manana,Servir,Debito,4200,0,0,0
70,2024-04-10,2024,4,April,Wednesday,False,15,10,manana,Servir,Debito,3000,0,0,0
71,2024-04-10,2024,4,April,Wednesday,False,15,15,almuerzo,Servir,Debito,8500,0,1357,850
72,2024-04-10,2024,4,April,Wednesday,False,15,15,almuerzo,Servir,Debito,14200,0,2267,0
73,2024-04-10,2024,4,April,Wednesday,False,15,16,tarde,Llevar,Efectivo,2500,0,399,0
74,2024-04-10,2024,4,April,Wednesday,False,15,16,tarde,Llevar,Efectivo,2500,0,399,0
75,2024-04-10,2024,4,April,Wednesday,False,15,16,tarde,Llevar,Credito,2800,0,447,0
76,2024-04-10,2024,4,April,Wednesday,False,15,16,tarde,Servir,Efectivo,23520,0,3755,0
77,2024-04-10,2024,4,April,Wednesday,False,15,17,tarde,Llevar,Debito,12100,0,1932,0
78,2024-04-10,2024,4,April,Wednesday,False,15,17,tarde,Servir,Debito,11700,0,1868,0
79,2024-04-10,2024,4,April,Wednesday,False,15,17,tarde,Llevar,Credito,5510,0,880,0
80,2024-04-10,2024,4,April,Wednesday,False,15,17,tarde,Llevar,Efectivo,6200,0,990,0
81,2024-04-10,2024,4,April,Wednesday,False,15,17,tarde,Servir,Debito,19000,0,3034,0
82,2024-04-10,2024,4,April,Wednesday,False,15,17,tarde,Servir,Efectivo,1500,0,239,0
83,2024-04-10,2024,4,April,Wednesday,False,15,17,tarde,Servir,Efectivo,1500,0,239,0
84,2024-04-10,2024,4,April,Wednesday,False,15,18,tarde,Servir,Efectivo,12000,0,1916,0
85,2024-04-10,2024,4,April,Wednesday,False,15,18,tarde,Servir,Debito,26200,0,4183,0
86,2024-04-10,2024,4,April,Wednesday,False,15,18,tarde,Llevar,Debito,2900,0,463,0
87,2024-04-10,2024,4,April,Wednesday,False,15,18,tarde,Servir,Sodexo,13400,0,2139,0
88,2024-04-10,2024,4,April,Wednesday,False,15,18,tarde,Llevar,Debito,6400,0,1022,0
89,2024-04-10,2024,4,April,Wednesday,False,15,18,tarde,Servir,Debito,8200,0,0,0
90,2024-04-10,2024,4,April,Wednesday,False,15,18,tarde,Servir,Efectivo,16800,0,2682,0
91,2024-04-10,2024,4,April,Wednesday,False,15,18,tarde,Servir,Efectivo,4500,0,718,0
92,2024-04-10,2024,4,April,Wednesday,False,15,19,cierre,Llevar,Debito,1300,0,208,0
93,2024-04-10,2024,4,April,Wednesday,False,15,19,cierre,Llevar,Efectivo,3100,0,495,0
94,2024-04-10,2024,4,April,Wednesday,False,15,19,cierre,Servir,Efectivo,1000,0,160,0
95,2024-04-10,2024,4,April,Wednesday,False,15,19,cierre,Servir,Efectivo,14200,0,2267,0
96,2024-04-10,2024,4,April,Wednesday,False,15,20,cierre,Servir,Debito,2046,0,327,0
97,2024-04-10,2024,4,April,Wednesday,False,15,20,cierre,Servir,Debito,10600,0,0,0
98,2024-04-10,2024,4,April,Wednesday,False,15,23,cierre,Servir,Debito,3300,0,0,0
99,2024-04-10,2024,4,April,Wednesday,False,15,23,cierre,Servir,Debito,6400,0,0,0
100,2024-04-10,2024,4,April,Wednesday,False,15,23,cierre,Servir,Debito,1100,0,0,0
101,2024-04-10,2024,4,April,Wednesday,False,15,23,cierre,Servir,Credito,5500,0,0,0
102,2024-04-10,2024,4,April,Wednesday,False,15,23,cierre,Servir,Debito,5300,0,0,0
103,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Credito,1590,10,0,0
104,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Efectivo,2980,20,0,0
105,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,2980,20,0,0
106,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,2000,0,0,0
107,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,3500,0,0,0
108,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,5760,40,0,0
109,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,6400,0,0,0
110,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,5360,40,0,0
111,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,5300,0,0,0
112,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,1490,10,0,0
113,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,4930,70,0,0
114,2024-04-11,2024,4,April,Thursday,False,15,9,apertura,Servir,Debito,3509,0,0,0
115,2024-04-11,2024,4,April,Thursday,False,15,10,manana,Servir,Debito,2790,10,0,0
116,2024-04-11,2024,4,April,Thursday,False,15,10,manana,Servir,Debito,5730,1,0,0
117,2024-04-11,2024,4,April,Thursday,False,15,13,almuerzo,Llevar,Efectivo,8900,0,1421,0
118,2024-04-11,2024,4,April,Thursday,False,15,14,almuerzo,Servir,Debito,24600,0,3928,0
119,2024-04-11,2024,4,April,Thursday,False,15,15,almuerzo,Servir,Debito,7200,0,0,0
120,2024-04-11,2024,4,April,Thursday,False,15,15,almuerzo,Servir,Debito,12100,0,0,0
121,2024-04-11,2024,4,April,Thursday,False,15,15,almuerzo,Servir,Debito,13600,0,0,0
122,2024-04-11,2024,4,April,Thursday,False,15,16,tarde,Llevar,Efectivo,2000,0,319,0
123,2024-04-11,2024,4,April,Thursday,False,15,16,tarde,Servir,Debito,19300,0,3082,0
124,2024-04-11,2024,4,April,Thursday,False,15,16,tarde,Servir,Efectivo,13600,0,2171,0
125,2024-04-11,2024,4,April,Thursday,False,15,16,tarde,Llevar,Debito,10000,0,0,0
126,2024-04-11,2024,4,April,Thursday,False,15,17,tarde,Llevar,Efectivo,6000,0,958,0
127,2024-04-11,2024,4,April,Thursday,False,15,17,tarde,Servir,Debito,18590,0,2968,0
128,2024-04-11,2024,4,April,Thursday,False,15,17,tarde,Llevar,Efectivo,3100,0,495,0
129,2024-04-11,2024,4,April,Thursday,False,15,17,tarde,Llevar,Debito,8800,0,1405,0
130,2024-04-11,2024,4,April,Thursday,False,15,18,tarde,Llevar,Debito,6200,0,990,0
131,2024-04-11,2024,4,April,Thursday,False,15,18,tarde,Servir,Efectivo,11500,0,0,0
132,2024-04-11,2024,4,April,Thursday,False,15,18,tarde,Llevar,Efectivo,3300,0,0,0
133,2024-04-11,2024,4,April,Thursday,False,15,19,cierre,Servir,Efectivo,11000,0,1756,0
134,2024-04-11,2024,4,April,Thursday,False,15,19,cierre,Servir,Debito,9000,0,0,0
135,2024-04-11,2024,4,April,Thursday,False,15,19,cierre,Llevar,Debito,6500,0,0,0
136,2024-04-11,2024,4,April,Thursday,False,15,19,cierre,Servir,Debito,12500,0,0,0
137,2024-04-11,2024,4,April,Thursday,False,15,19,cierre,Llevar,Efectivo,2200,0,0,0
138,2024-04-11,2024,4,April,Thursday,False,15,20,cierre,Servir,Debito,7300,0,0,0
139,2024-04-11,2024,4,April,Thursday,False,15,20,cierre,Llevar,Debito,5500,0,0,0
140,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,2500,0,0,0
141,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,3100,0,0,0
142,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,1680,120,0,0
143,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,6200,0,0,0
144,2024-04-12,2024,4,April,Friday,False,15,11,manana,Llevar,Debito,1331,0,0,0
145,2024-04-12,2024,4,April,Friday,False,15,11,manana,Llevar,Debito,5300,0,0,0
146,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,3380,120,0,0
147,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,6000,0,0,0
148,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,3300,0,0,0
149,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,6910,90,0,0
150,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,4000,0,0,0
151,2024-04-12,2024,4,April,Friday,False,15,11,manana,Llevar,Efectivo,1500,0,0,0
152,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,6900,100,0,0
153,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,2600,0,0,0
154,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,5500,0,0,0
155,2024-04-12,2024,4,April,Friday,False,15,11,manana,Llevar,Debito,6200,0,0,0
156,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,2500,0,0,0
157,2024-04-12,2024,4,April,Friday,False,15,11,manana,Servir,Debito,1460,40,0,0
158,2024-04-12,2024,4,April,Friday,False,15,11,manana,Llevar,Debito,2120,0,0,0
159,2024-04-12,2024,4,April,Friday,False,15,11,manana,Llevar,Debito,4940,60,0,0
160,2024-04-12,2024,4,April,Friday,False,15,11,manana,Llevar,Debito,2790,10,0,0
161,2024-04-12,2024,4,April,Friday,False,15,11,manana,Llevar,Debito,3500,0,0,0
162,2024-04-12,2024,4,April,Friday,False,15,11,manana,Llevar,Debito,5700,0,0,0
